52343   ,28-05-2017 15:01:54.160, ABS:05958861.61421, DEL:00000000.00179, LEN:17,  DATA: 01 00 CC 77 11 FF FF FF 85 00 00 03 00 00 A2 04 74 , RSSI:[0,0,0,80], LQI:[0,0,0,255]
52356   ,28-05-2017 15:01:54.731, ABS:05958862.18536, DEL:00000000.57115, LEN:15,  DATA: 01 FF FF FF 0F 00 CC 84 55 3C 05 00 AE C3 B8 , RSSI:[0,0,0,37], LQI:[0,0,0,255]
52356   ,28-05-2017 15:01:54.732, ABS:05958862.18715, DEL:00000000.00179, LEN:17,  DATA: 01 00 CC 84 11 FF FF FF 85 00 00 03 00 00 AE 08 87 , RSSI:[0,0,0,80], LQI:[0,0,0,255]
52352   ,28-05-2017 15:01:54.771, ABS:05958862.22565, DEL:00000000.03850, LEN:15,  DATA: 01 FF FF FF 0F 00 CC 80 55 3C 05 00 69 04 BC , RSSI:[0,0,0,37], LQI:[0,0,0,255]
52352   ,28-05-2017 15:01:54.773, 05958862.22743 00000000.00178 17 [0,0,0,80], LQI:[0,0,0,255]
52397   ,28-05-2017 15:01:55.065, ABS:05958862.51928, DEL:00000000.29185, LEN:41,  DATA: 01 FF FF FF 29 00 CC AD BB 00 DA 00 00 00 00 30 02 00 13 00 20 02 09 13 00 21 02 09 40 00 10 07 59 2A D7 AF 3A 1F 10 B4 39 , RSSI:[0,0,0,45], LQI:[0,0,0,255]
52324   ,28-05-2017 15:01:55.226, ABS:05958862.68004, DEL:00000000.16076, LEN:43,  DATA: 01 FF FF FF 2B 00 CC 64 BB 00 E2 00 00 00 00 30 02 00 13 00 20 03 78 15 00 00 21 03 78 40 40 00 10 07 58 CB 90 9A 2C 1F 10 F4 48 , RSSI:[0,0,0,37], LQI:[0,0,0,255]
52330   ,28-05-2017 15:01:55.381, ABS:05958862.83540, DEL:00000000.15536, LEN:41,  DATA: 01 FF FF FF 29 00 CC 6A BB 00 49 00 00 00 00 30 02 00 13 00 20 02 47 08 00 21 02 47 40 00 10 07 59 2A D7 7F 20 1F 10 73 7B , RSSI:[0,0,0,37], LQI:[0,0,0,255]
52397   ,28-05-2017 15:01:56.063, ABS:05958863.51839, DEL:00000000.68299, LEN:15,  DATA: 01 FF FF FF 0F 00 CC AD 55 3C 05 00 DA B7 91 , RSSI:[0,0,0,45], LQI:[0,0,0,255]
52397   ,28-05-2017 15:01:56.066, ABS:05958863.52019, DEL:00000000.00180, LEN:17,  DATA: 01 00 CC AD 11 FF FF FF 85 00 00 03 00 00 DA 7C AE , RSSI:[0,0,0,80], LQI:[0,0,0,255]
52324   ,28-05-2017 15:01:56.224, ABS:05958863.67905, DEL:00000000.15886, LEN:15,  DATA: 01 FF FF FF 0F 00 CC 64 55 3C 05 00 E2 8F 58 , RSSI:[0,0,0,37], LQI:[0,0,0,255]
52324   ,28-05-2017 15:01:56.226, ABS:05958863.68082, DEL:00000000.00177, LEN:17,  DATA: 01 00 CC 64 11 FF FF FF 85 00 00 03 00 00 E2 44 67 , RSSI:[0,0,0,80], LQI:[0,0,0,255]
52330   ,28-05-2017 15:01:56.380, ABS:05958863.83456, DEL:00000000.15374, LEN:15,  DATA: 01 FF FF FF 0F 00 CC 6A 55 3C 05 00 49 24 56 , RSSI:[0,0,0,37], LQI:[0,0,0,255]
52330   ,28-05-2017 15:01:56.381, ABS:05958863.83633, DEL:00000000.00177, LEN:17,  DATA: 01 00 CC 6A 11 FF FF FF 85 00 00 03 00 00 49 EF 69 , RSSI:[0,0,0,80], LQI:[0,0,0,255]
52349   ,28-05-2017 15:01:57.227, ABS:05958864.68109, DEL:00000000.84476, LEN:41,  DATA: 01 FF FF FF 29 00 CC 7D BB 00 48 00 00 00 00 30 02 00 13 00 20 02 6B 02 00 21 02 6B 40 00 10 07 59 2A D7 E0 02 1F 11 7D D5 , RSSI:[0,0,0,40], LQI:[0,0,0,255]
52360   ,28-05-2017 15:01:57.431, ABS:05958864.88515, DEL:00000000.20406, LEN:40,  DATA: 01 FF FF FF 28 00 CC 88 BB 00 E1 00 00 00 00 30 02 00 11 00 20 02 4E 07 00 21 02 4E 40 00 10 06 59 2A D8 07 23 1F CD E6 , RSSI:[0,0,0,41], LQI:[0,0,0,255]
52310   ,28-05-2017 15:01:57.432, ABS:05958864.88686, DEL:00000000.00171, LEN:41,  DATA: 01 FF FF FF 29 00 CC 56 BB 00 25 00 02 00 00 30 02 00 11 00 20 02 3B 0A 00 21 02 3B 40 00 10 07 58 EC EC C0 1E 1F 10 67 40 , RSSI:[0,0,0,31], LQI:[0,0,0,255]
52350   ,28-05-2017 15:01:57.752, ABS:05958865.20675, DEL:00000000.31989, LEN:41,  DATA: 01 FF FF FF 29 00 CC 7E BB 00 BB 00 00 00 00 30 02 00 13 00 20 02 3A 0A 00 21 02 3A 40 00 10 07 59 2A D7 DA 24 1F 10 F8 B5 , RSSI:[0,0,0,37], LQI:[0,0,0,255]
52349   ,28-05-2017 15:01:58.225, ABS:05958865.68024, DEL:00000000.47349, LEN:15,  DATA: 01 FF FF FF 0F 00 CC 7D 55 3C 05 00 48 25 41 , RSSI:[0,0,0,40], LQI:[0,0,0,255]
52349   ,28-05-2017 15:01:58.227, ABS:05958865.68202, DEL:00000000.00178, LEN:17,  DATA: 01 00 CC 7D 11 FF FF FF 85 00 00 03 00 00 48 EE 7E , RSSI:[0,0,0,80], LQI:[0,0,0,255]
52360   ,28-05-2017 15:01:58.429, ABS:05958865.88429, DEL:00000000.20227, LEN:15,  DATA: 01 FF FF FF 0F 00 CC 88 55 3C 05 00 E1 8C B4 , RSSI:[0,0,0,41], LQI:[0,0,0,255]
52350   ,28-05-2017 15:01:58.751, ABS:05958866.20588, DEL:00000000.32159, LEN:15,  DATA: 01 FF FF FF 0F 00 CC 7E 55 3C 05 00 BB D6 42 , RSSI:[0,0,0,37], LQI:[0,0,0,255]
